,Table 44:,Student Enrolment at various levels through Regular mode during last 5 years,,,,,,,,,Student Enrolment at various levels through Regular mode during last 5 years,,,,,,,,,Student Enrolment at various levels through Regular mode during last 5 years,,,,,,,,
"Sl. 
No.",State/UTs,Ph.D.,,,M.Phil.,,,Post Graduate,,,Under Graduate,,,PG Diploma,,,Diploma,,,Certificate,,,Integrated,,,Grand Total,,
,,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both,Male,Female,Both
,2018-19,1827,1966,3793,154,287,441,28449,52423,80872,297161,339410,636571,1062,1097,2159,49547,21885,71432,1175,1577,2752,8489,5960,14449,387276,421757,809033
,2017-18,1632,1696,3328,170,270,440,26862,49009,75872,306411,304134,610545,1199,896,2095,45327,20664,65991,1241,1831,3072,8294,4858,13152,391136,383359,774495
,2016-17,1817,1784,3601,208,260,468,25922,47851,73773,303902,284392,588294,1036,971,2007,49077,19177,68254,1007,1834,2841,6428,3988,10416,389397,360257,749654
12,Himachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,1100,1012,2112,136,134,270,8255,11665,19920,86266,110790,197056,364,572,936,8096,7505,15601,324,236,560,1504,965,2469,106045,132879,238924
,2019-20,1027,897,1924,118,214,332,7680,10928,18608,88779,113683,202462,354,682,1036,8449,7753,16202,590,677,1267,990,523,1513,107987,135357,243344
,2018-19,1121,794,1915,95,179,274,7690,10949,18639,89450,113337,202787,747,645,1392,8284,7872,16156,899,1050,1949,913,419,1332,109199,135245,244444
,2017-18,906,794,1700,92,167,259,7402,11051,18453,87359,109341,196700,445,742,1187,7925,8091,16016,572,851,1423,762,397,1159,105463,131434,236897
,2016-17,721,608,1329,104,163,267,6621,10240,16861,88384,104863,193247,325,536,861,7896,7376,15272,425,517,942,647,269,916,105123,124572,229695
13,Jammu and Kashmir,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,2412,2033,4445,117,180,297,9240,11038,20278,109709,121257,230966,159,98,257,12399,11890,24289,805,746,1551,4509,5401,9910,139350,152643,291993
,2019-20,2080,1909,3989,94,156,250,9412,9747,19159,112144,118427,230571,220,145,365,8637,6219,14856,988,1119,2107,2846,3540,6386,136421,141262,277683
,2018-19,1392,1291,2683,143,174,317,9388,9852,19240,108605,127493,236098,262,207,469,8256,3914,12170,124,116,240,2618,2894,5512,130788,145941,276729
,2017-18,1235,1261,2496,119,123,242,9729,10431,20160,97068,121183,218251,182,128,310,7515,3186,10701,8,3,11,1532,1875,3407,117388,138190,255578
,2016-17,991,977,1968,109,143,252,8417,8882,17299,95847,113913,209760,296,235,531,7231,2745,9976,14,1,15,1021,1465,2486,113926,128361,242287
14,Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,1738,919,2657,18,63,81,31936,48853,80789,286992,299084,586076,885,519,1404,27901,14312,42213,1160,800,1960,1815,1030,2845,352445,365580,718025
,2019-20,2469,1020,3489,33,74,107,32122,47381,79503,300527,314385,614912,1516,869,2385,26778,10714,37492,672,1256,1928,2095,1222,3317,366212,376921,743133
,2018-19,2108,795,2903,46,110,156,24359,34374,58733,281348,285456,566804,1416,738,2154,23712,8747,32459,656,1280,1936,2252,1326,3578,335897,332826,668723
,2017-18,1158,640,1798,79,125,204,21129,28978,50107,278327,278589,556916,1817,895,2712,21144,7797,28941,471,1070,1541,2316,1329,3645,326441,319423,645864
,2016-17,1157,648,1805,209,368,577,20497,24039,44536,274718,263353,538071,1779,839,2618,18505,4947,23452,272,832,1104,2378,1485,3863,319515,296511,616026
15,Karnataka,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,5752,5276,11028,60,189,249,96240,125432,221672,909437,902573,1812010,2852,2455,5307,137320,113894,251214,2362,2132,4494,7274,6681,13955,1161297,1158632,2319929
,2019-20,8422,6566,14988,160,368,528,86081,111740,197821,828434,847140,1675574,2861,2790,5651,113133,80208,193341,1148,1495,2643,6382,5074,11456,1046621,1055381,2102002
,2018-19,8070,5230,13300,152,316,468,80841,101159,182000,754255,777917,1532172,2280,2251,4531,113266,72897,186163,1281,1793,3074,4495,3652,8147,964640,965215,1929855
,2017-18,9103,5087,14190,189,338,527,80938,96783,177721,719930,756748,1476679,2182,2062,4244,121254,77215,198469,2049,1637,3686,3879,3112,6991,939524,942983,1882507
,2016-17,6630,4211,10841,198,329,527,82065,87824,169889,697936,708806,1406742,2008,1884,3892,129732,75159,204891,1953,1759,3712,4406,3636,8042,924928,883608,1808536
16,Kerala,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,3184,5554,8738,207,745,952,25672,80026,105698,328404,464401,792805,571,641,1212,48832,33114,81946,1226,3429,4655,4226,5505,9731,412322,593415,1005737
,2019-20,2817,4687,7504,197,676,873,21928,69228,91156,287531,410502,698033,399,467,866,41458,30502,71960,780,2510,3290,3701,4094,7795,358811,522666,881477
,2018-19,2503,4183,6686,204,685,889,20891,64717,85608,281525,397212,678737,476,462,938,36948,29262,66210,857,2626,3483,2828,2864,5692,346232,502011,848243
,2017-18,2256,3655,5911,280,630,910,19937,60432,80369,276683,392323,669007,639,422,1061,36183,30690,66873,740,2918,3658,2252,2159,4411,338971,493229,832200
,2016-17,2185,3121,5306,165,569,734,21369,57243,78612,273120,368794,641914,244,263,507,34801,28389,63190,726,2186,2912,2488,2389,4877,335098,462954,798052
17,Ladakh,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,6,2,8,,,,70,23,93,740,1738,2478,,,,245,185,430,,,,47,91,138,1108,2039,3147
,2019-20,6,2,8,,,,26,28,54,798,1746,2544,,,,112,24,136,,,,57,98,155,999,1898,2897
18,Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-21,,,,,,,,26,26,133,401,534,,,,,,,,,,,,,133,427,560
,2019-20,,,,,,,,26,26,133,401,534,,,,,,,,,,,,,133,427,560
,2018-19,,,,,,,,26,26,127,392,519,,,,,,,,,,,,,127,418,545
,2017-18,,,,,,,4,33,37,112,403,515,,,,,,,,,,,,,116,436,552
,2016-17,,,,,,,1,12,13,148,363,511,,,,,,,,,,,,,149,375,524
19,Madhya Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,
