sector,job_count,avg_salary
Agile Methodology,22,0.0
Agile Plm,1,1300000.0
Agile methodologies,2,0.0
Agile project management,1,0.0
Agile scrum,5,0.0
AgileScrum,1,0.0
Agm,1,3250000.0
Agri Finance,3,0.0
Agri operations,1,2300000.0
Agribusiness,2,2540000.0
Agricultural output sourcing,1,600000.0
Agriculture,3,390000.0
Agriculture Marketing,1,550000.0
Agriculture Sales,5,300000.0
Agrochemicals,3,0.0
Ahmedabad,1,300000.0
Ahp,1,0.0
Ai Algorithms,2,0.0
Ai Builder,1,198000.0
Ai Solutions,6,570000.0
Ai Strategy,1,3000000.0
Ai Techniques,7,0.0
Ai code tools,1,0.0
Aif,1,7000000.0
Aiml,11,0.0
Air Freight,20,450000.0
Air Hostess Activities,1,1400000.0
Air compressor,1,0.0
Airbus,1,0.0
Aircraft Maintenance,1,0.0
Aircraft maintenance,1,0.0
Airflow,120,1925000.0
Airline Process,1,400000.0
Airlines,1,0.0
Airport Operation,1,0.0
Airway Management,1,325000.0
Aisc,1,0.0
Aix,3,0.0
Al,2,1375000.0
Alarm Monitoring,1,0.0
Album Designers,1,0.0
Algorithm Analysis,1,0.0
Algorithm Design,1,5000000.0
Algorithm Development,3,0.0
Algorithmic Trading,1,0.0
Algorithms,3,0.0
Allegro,1,0.0
Allen Bradley Plc,5,0.0
Alliance Sales,1,1350000.0
Alliances,1,0.0
Allocation,1,3000000.0
Allscrpits software,1,0.0
Alm,1,800000.0
Altair,1,0.0
Alternate Channel,1,0.0
Alternate Vendor development,1,0.0
Alternators,1,0.0
Alteryx,4,425000.0
Aluminum,1,2150000.0
Alumni Relations,1,0.0
Amadeus,9,325000.0
Amazon Advertising,8,413750.0
Amazon Ec2,2,1250000.0
Amazon Redshift,6,0.0
Amazon Seller Central,1,375000.0
Amazon Sqs,1,2500000.0
Amazon ads,1,500000.0
Amc,1,1500000.0
Amc Sales,3,387500.0
Amcs,2,212500.0
American Express,1,400000.0
American Motorsports Content Writing,4,0.0
American Motorsports Jurnalism,5,0.0
American Sports Writing,10,0.0
Aml,7,125000.0
Aml Kyc,2,325000.0
Ammonia Refrigeration,1,700000.0
Ams,1,0.0
Amtrak reservation,1,275000.0
An IT sales executive needs a blend of technical proficiency,1,150000.0
Anaesthesia,1,1650000.0
Anaesthesiologist,11,2750000.0
Analog Circuit Design,1,0.0
Analog Design,1,0.0
Analog Layout,2,200000.0
Analysis,7,0.0
Analysis Tools,1,0.0
Analysis expenses,1,0.0
Analyst,11,0.0
Analyst Relations,1,0.0
Analyst relations,1,0.0
Analytical,22,0.0
Analytical & Problem-Solving Ability,1,0.0
Analytical Ability,3,312500.0
Analytical Chemistry,1,487500.0
Analytical Instruments,1,900000.0
Analytical Method Development,3,200000.0
Analytical Method Validation,6,450000.0
Analytical Quality Assurance,2,0.0
Analytical Research,2,106250.0
Analytical Research Development,1,0.0
Analytical Skills,2,0.0
Analytical chemistry,3,0.0
Analytical skills,192,0.0
Analytics,2,375000.0
Analytics Data,1,450000.0
Analytics and Instrumentation,1,0.0
Anaplan,1,2750000.0
Anaplan Developer,1,350000.0
Anaplan Level 2 Certified,1,0.0
Anatomy,8,350000.0
Anchoring,3,287500.0
Android,8,0.0
Android Application Development,14,0.0
Android Architecture,1,0.0
Android Development,1,0.0
Android Malware Analysis,1,0.0
Android SDK,1,0.0
Android Studio,1,1900000.0
Android Testing,1,0.0
Android app support basics,1,1500000.0
Android developer,1,0.0
Android networking and services,1,0.0
Andrology,1,287500.0
Anesthesia,5,0.0
Angiography,2,3418750.0
Angioplasty,1,0.0
Angular,37,0.0
Angular 12+,1,0.0
Angular 13+,2,0.0
Angular 14+,1,0.0
Angular 16+,1,1600000.0
Angular 19,1,0.0
Angular 2+,1,0.0
Angular Development,9,0.0
Angular Full Stack Developer Jobs Hyderabad,1,550000.0
Angular JS,3,0.0
Angular Js,1,1000000.0
Angular React,1,675000.0
Angular UI,1,1900000.0
Angular js,1,0.0
Angular version above 12 and electron js,1,2650000.0
