UniversityType,Year,Metric,Value
Central Open University,2016,Grand Total Male,457625
Institute of National Importance,2020,Grand Total Male,227101
Institute of National Importance,2019,Grand Total Male,220784
Institute of National Importance,2018,Grand Total Male,173752
Institute of National Importance,2017,Grand Total Male,154302
Institute of National Importance,2016,Grand Total Male,148131
Deemed University-Government,2020,Grand Total Male,26992
Deemed University-Government,2019,Grand Total Male,26452
Deemed University-Government,2018,Grand Total Male,24912
Deemed University-Government,2017,Grand Total Male,30515
Deemed University-Government,2016,Grand Total Male,31366
State Public University,2020,Grand Total Male,1338500
State Public University,2019,Grand Total Male,1287660
State Public University,2018,Grand Total Male,1191568
State Public University,2017,Grand Total Male,1329314
State Public University,2016,Grand Total Male,1383699
State Open University,2020,Grand Total Male,911295
State Open University,2019,Grand Total Male,732675
State Open University,2018,Grand Total Male,723310
State Open University,2017,Grand Total Male,685748
State Open University,2016,Grand Total Male,697814
Institute under State Legislature Act,2020,Grand Total Male,1835
Institute under State Legislature Act,2019,Grand Total Male,2350
Institute under State Legislature Act,2018,Grand Total Male,1979
Institute under State Legislature Act,2017,Grand Total Male,1523
Institute under State Legislature Act,2016,Grand Total Male,1405
State Private University,2020,Grand Total Male,954344
State Private University,2019,Grand Total Male,833707
State Private University,2018,Grand Total Male,759502
State Private University,2017,Grand Total Male,686424
State Private University,2016,Grand Total Male,521065
Deemed University-Government Aided,2020,Grand Total Male,25968
Deemed University-Government Aided,2019,Grand Total Male,27648
Deemed University-Government Aided,2018,Grand Total Male,28963
Deemed University-Government Aided,2017,Grand Total Male,29468
Deemed University-Government Aided,2016,Grand Total Male,35874
Deemed University-Private,2020,Grand Total Male,525832
Deemed University-Private,2019,Grand Total Male,465232
Deemed University-Private,2018,Grand Total Male,421084
Deemed University-Private,2017,Grand Total Male,399025
Deemed University-Private,2016,Grand Total Male,377347
State Private Open University,2020,Grand Total Male,2518
State Private Open University,2019,Grand Total Male,1728
State Private Open University,2017,Grand Total Male,19
State Private Open University,2016,Grand Total Male,19
All University Types,2020,Grand Total Female,3949708
All University Types,2019,Grand Total Female,3521098
All University Types,2018,Grand Total Female,3214777
All University Types,2017,Grand Total Female,3018967
All University Types,2016,Grand Total Female,3033988
Central University,2020,Grand Total Female,337686
Central University,2019,Grand Total Female,346659
Central University,2018,Grand Total Female,333795
Central University,2017,Grand Total Female,347751
Central University,2016,Grand Total Female,335467
Central Open University,2020,Grand Total Female,554277
Central Open University,2019,Grand Total Female,521668
Central Open University,2018,Grand Total Female,458920
Central Open University,2017,Grand Total Female,307111
Central Open University,2016,Grand Total Female,358321
Institute of National Importance,2020,Grand Total Female,79412
Institute of National Importance,2019,Grand Total Female,72552
Institute of National Importance,2018,Grand Total Female,54679
Institute of National Importance,2017,Grand Total Female,48895
Institute of National Importance,2016,Grand Total Female,48533
Deemed University-Government,2020,Grand Total Female,12910
Deemed University-Government,2019,Grand Total Female,13275
Deemed University-Government,2018,Grand Total Female,12584
Deemed University-Government,2017,Grand Total Female,12406
Deemed University-Government,2016,Grand Total Female,12793
State Public University,2020,Grand Total Female,1439580
State Public University,2019,Grand Total Female,1290813
State Public University,2018,Grand Total Female,1196036
State Public University,2017,Grand Total Female,1267319
State Public University,2016,Grand Total Female,1377636
State Open University,2020,Grand Total Female,603442
State Open University,2019,Grand Total Female,475385
State Open University,2018,Grand Total Female,451437
State Open University,2017,Grand Total Female,404335
State Open University,2016,Grand Total Female,382998
Institute under State Legislature Act,2020,Grand Total Female,5472
Institute under State Legislature Act,2019,Grand Total Female,3702
Institute under State Legislature Act,2018,Grand Total Female,3136
Institute under State Legislature Act,2017,Grand Total Female,2186
Institute under State Legislature Act,2016,Grand Total Female,2264
State Private University,2020,Grand Total Female,521325
State Private University,2019,Grand Total Female,442494
State Private University,2018,Grand Total Female,397591
State Private University,2017,Grand Total Female,349305
State Private University,2016,Grand Total Female,247324
Deemed University-Government Aided,2020,Grand Total Female,29364
Deemed University-Government Aided,2019,Grand Total Female,28521
Deemed University-Government Aided,2018,Grand Total Female,30757
Deemed University-Government Aided,2017,Grand Total Female,26526
Deemed University-Government Aided,2016,Grand Total Female,34027
Deemed University-Private,2020,Grand Total Female,363962
Deemed University-Private,2019,Grand Total Female,323530
Deemed University-Private,2018,Grand Total Female,275842
Deemed University-Private,2017,Grand Total Female,253126
Deemed University-Private,2016,Grand Total Female,234618
State Private Open University,2020,Grand Total Female,2278
State Private Open University,2019,Grand Total Female,2499
State Private Open University,2017,Grand Total Female,7
State Private Open University,2016,Grand Total Female,7
All University Types,2020,Grand Total Both,9028192
All University Types,2019,Grand Total Both,8138368
All University Types,2018,Grand Total Both,7486795
All University Types,2017,Grand Total Both,7265397
All University Types,2016,Grand Total Both,7072284
Central University,2020,Grand Total Both,703776
Central University,2019,Grand Total Both,720025
Central University,2018,Grand Total Both,704582
Central University,2017,Grand Total Both,723679
Central University,2016,Grand Total Both,719418
Central Open University,2020,Grand Total Both,1252286
Central Open University,2019,Grand Total Both,1167336
Central Open University,2018,Grand Total Both,1035081
Central Open University,2017,Grand Total Both,861275
Central Open University,2016,Grand Total Both,815946
Institute of National Importance,2020,Grand Total Both,306513
Institute of National Importance,2019,Grand Total Both,293336
Institute of National Importance,2018,Grand Total Both,228431
Institute of National Importance,2017,Grand Total Both,203197
Institute of National Importance,2016,Grand Total Both,196664
Deemed University-Government,2020,Grand Total Both,39902
Deemed University-Government,2019,Grand Total Both,39727
Deemed University-Government,2018,Grand Total Both,37496
Deemed University-Government,2017,Grand Total Both,42921
Deemed University-Government,2016,Grand Total Both,44159
State Public University,2020,Grand Total Both,2778080
State Public University,2019,Grand Total Both,2578473
State Public University,2018,Grand Total Both,2387604
State Public University,2017,Grand Total Both,2596633
State Public University,2016,Grand Total Both,2761335
State Open University,2020,Grand Total Both,1514737
State Open University,2019,Grand Total Both,1208060
State Open University,2018,Grand Total Both,1174747
State Open University,2017,Grand Total Both,1090083
State Open University,2016,Grand Total Both,1080812
Institute under State Legislature Act,2020,Grand Total Both,7307
Institute under State Legislature Act,2019,Grand Total Both,6052
Institute under State Legislature Act,2018,Grand Total Both,5115
Institute under State Legislature Act,2017,Grand Total Both,3709
Institute under State Legislature Act,2016,Grand Total Both,3669
State Private University,2020,Grand Total Both,1475669
State Private University,2019,Grand Total Both,1276201
State Private University,2018,Grand Total Both,1157093
State Private University,2017,Grand Total Both,1035729
State Private University,2016,Grand Total Both,768389
Deemed University-Government Aided,2020,Grand Total Both,55332
Deemed University-Government Aided,2019,Grand Total Both,56169
Deemed University-Government Aided,2018,Grand Total Both,59720
Deemed University-Government Aided,2017,Grand Total Both,55994
Deemed University-Government Aided,2016,Grand Total Both,69901
Deemed University-Private,2020,Grand Total Both,889794
Deemed University-Private,2019,Grand Total Both,788762
Deemed University-Private,2018,Grand Total Both,696926
Deemed University-Private,2017,Grand Total Both,652151
Deemed University-Private,2016,Grand Total Both,611965
State Private Open University,2020,Grand Total Both,4796
State Private Open University,2019,Grand Total Both,4227
State Private Open University,2017,Grand Total Both,26
State Private Open University,2016,Grand Total Both,26
