UniversityType,Year,Metric,Value
Central University,2019,M.Phil. Male,1193
Central University,2018,M.Phil. Male,2757
Central University,2017,M.Phil. Male,1804
Central University,2016,M.Phil. Male,3987
Central Open University,2019,M.Phil. Male,1
Central Open University,2018,M.Phil. Male,11
Central Open University,2017,M.Phil. Male,32
Central Open University,2016,M.Phil. Male,38
Institute of National Importance,2020,M.Phil. Male,56
Institute of National Importance,2019,M.Phil. Male,78
Institute of National Importance,2018,M.Phil. Male,32
Institute of National Importance,2017,M.Phil. Male,39
Institute of National Importance,2016,M.Phil. Male,78
Deemed University-Government,2020,M.Phil. Male,57
Deemed University-Government,2019,M.Phil. Male,138
Deemed University-Government,2018,M.Phil. Male,202
Deemed University-Government,2017,M.Phil. Male,164
Deemed University-Government,2016,M.Phil. Male,170
State Public University,2020,M.Phil. Male,2906
State Public University,2019,M.Phil. Male,3925
State Public University,2018,M.Phil. Male,3969
State Public University,2017,M.Phil. Male,4535
State Public University,2016,M.Phil. Male,5146
State Open University,2020,M.Phil. Male,7
State Open University,2019,M.Phil. Male,14
State Private University,2020,M.Phil. Male,123
State Private University,2019,M.Phil. Male,644
State Private University,2018,M.Phil. Male,412
State Private University,2017,M.Phil. Male,333
State Private University,2016,M.Phil. Male,373
Deemed University-Government Aided,2020,M.Phil. Male,34
Deemed University-Government Aided,2019,M.Phil. Male,145
Deemed University-Government Aided,2018,M.Phil. Male,197
Deemed University-Government Aided,2017,M.Phil. Male,255
Deemed University-Government Aided,2016,M.Phil. Male,248
Deemed University-Private,2020,M.Phil. Male,177
Deemed University-Private,2019,M.Phil. Male,303
Deemed University-Private,2018,M.Phil. Male,270
Deemed University-Private,2017,M.Phil. Male,262
Deemed University-Private,2016,M.Phil. Male,621
State Private Open University,2019,M.Phil. Male,20
All University Types,2020,M.Phil. Female,7423
All University Types,2019,M.Phil. Female,9413
All University Types,2018,M.Phil. Female,10799
All University Types,2017,M.Phil. Female,10488
All University Types,2016,M.Phil. Female,14374
Central University,2020,M.Phil. Female,1127
Central University,2019,M.Phil. Female,1083
Central University,2018,M.Phil. Female,3050
Central University,2017,M.Phil. Female,1722
Central University,2016,M.Phil. Female,3987
Central Open University,2018,M.Phil. Female,13
Central Open University,2017,M.Phil. Female,24
Central Open University,2016,M.Phil. Female,45
Institute of National Importance,2020,M.Phil. Female,189
Institute of National Importance,2019,M.Phil. Female,172
Institute of National Importance,2018,M.Phil. Female,64
Institute of National Importance,2017,M.Phil. Female,46
Institute of National Importance,2016,M.Phil. Female,98
Deemed University-Government,2020,M.Phil. Female,54
Deemed University-Government,2019,M.Phil. Female,144
Deemed University-Government,2018,M.Phil. Female,158
Deemed University-Government,2017,M.Phil. Female,166
Deemed University-Government,2016,M.Phil. Female,174
State Public University,2020,M.Phil. Female,5220
State Public University,2019,M.Phil. Female,6442
State Public University,2018,M.Phil. Female,5933
State Public University,2017,M.Phil. Female,6954
State Public University,2016,M.Phil. Female,8289
State Open University,2020,M.Phil. Female,15
State Open University,2019,M.Phil. Female,11
State Private University,2020,M.Phil. Female,267
State Private University,2019,M.Phil. Female,549
State Private University,2018,M.Phil. Female,442
State Private University,2017,M.Phil. Female,442
State Private University,2016,M.Phil. Female,478
Deemed University-Government Aided,2020,M.Phil. Female,152
Deemed University-Government Aided,2019,M.Phil. Female,290
Deemed University-Government Aided,2018,M.Phil. Female,392
Deemed University-Government Aided,2017,M.Phil. Female,431
