State,Area,Year,unemployment_rate_x,estimated_employed,labour_participation_rate,unemployment_rate_y,per_capita,poverty_rate,literacy_rate,labour_force,youth_unemployment_rate,edu_Certificate Both,edu_Certificate Female,edu_Certificate Male,edu_Diploma Both,edu_Diploma Female,edu_Diploma Male,edu_Grand Total Both,edu_Grand Total Female,edu_Grand Total Male,edu_Integrated Both,edu_Integrated Female,edu_Integrated Male,edu_M.Phil. Both,edu_M.Phil. Female,edu_M.Phil. Male,edu_PG Diploma Both,edu_PG Diploma Female,edu_PG Diploma Male,edu_Ph.D. Both,edu_Ph.D. Female,edu_Ph.D. Male,edu_Post Graduate Both,edu_Post Graduate Female,edu_Post Graduate Male,edu_Under Graduate Both,edu_Under Graduate Female,edu_Under Graduate Male,job_count_total,job_avg_salary_overall
Jharkhand,Rural,2020.0,23.096666666666668,6154863.0,39.839999999999996,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Jharkhand,Urban,2019.0,19.1525,2379150.375,43.53,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Jharkhand,Urban,2020.0,35.01,1905435.5,42.321666666666665,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Karnataka,Rural,2019.0,3.0325,12811872.0,41.46875,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Karnataka,Rural,2020.0,12.813333333333333,12483215.0,44.40166666666667,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Karnataka,Urban,2019.0,3.445,8688295.0,39.2,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Karnataka,Urban,2020.0,9.705,8629785.666666666,40.985,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Kerala,Rural,2019.0,7.645,5153982.25,38.18625,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Kerala,Rural,2020.0,13.936666666666667,4026455.8333333335,31.888333333333332,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
Kerala,Urban,2019.0,6.6175,4453293.75,35.511250000000004,0.0527,2047,47.6,61.9,0.2652,0.2274,121698,56102,65596,552316,208330,343986,16276736,7042196,9234540,302058,126614,175444,31748,18826,12922,275370,126106,149264,355752,156434,199318,4193102,2256170,1966932,10444692,4123614,6321078,97929,0.0
Kerala,Urban,2020.0,14.291666666666666,3818040.5,32.565,0.08,1910,50.6,61.9,0.2325,0.249,168476,66792,101684,625262,248438,376824,18056384,7899416,10156968,355880,151818,204062,24154,14846,9308,337276,147122,190154,360660,157760,202900,4648370,2472602,2175768,11536306,4640038,6896268,97929,0.0
